uid,0
abyss_c_unlocked,0
abyss_c_max_floor,0
abyss_c_total_stars,0
abyss_p_unlocked,0
abyss_p_max_floor,0
abyss_p_total_stars,0
abyss_c_mp_name_1,none
abyss_c_mp_rarity_1,0
abyss_c_mp_value_1,0
abyss_p_mp_name_1,none
abyss_p_mp_rarity_1,0
abyss_p_mp_value_1,0
abyss_c_mp_name_2,none
abyss_c_mp_rarity_2,0
abyss_c_mp_value_2,0
abyss_p_mp_name_2,none
abyss_p_mp_rarity_2,0
abyss_p_mp_value_2,0
abyss_c_mp_name_3,none
abyss_c_mp_rarity_3,0
abyss_c_mp_value_3,0
abyss_p_mp_name_3,none
abyss_p_mp_rarity_3,0
abyss_p_mp_value_3,0
abyss_c_mp_name_4,none
abyss_c_mp_rarity_4,0
abyss_c_mp_value_4,0
abyss_p_mp_name_4,none
abyss_p_mp_rarity_4,0
abyss_p_mp_value_4,0
abyss_c_mk_name,none
abyss_c_mk_rarity,0
abyss_c_mk_value,0
abyss_p_mk_name,none
abyss_p_mk_rarity,0
abyss_p_mk_value,0
abyss_c_ss_name,none
abyss_c_ss_rarity,0
abyss_c_ss_value,0
abyss_p_ss_name,none
abyss_p_ss_rarity,0
abyss_p_ss_value,0
abyss_c_mdt_name,none
abyss_c_mdt_rarity,0
abyss_c_mdt_value,0
abyss_p_mdt_name,none
abyss_p_mdt_rarity,0
abyss_p_mdt_value,0
abyss_c_mbu_name,none
abyss_c_mbu_rarity,0
abyss_c_mbu_value,0
abyss_p_mbu_name,none
abyss_p_mbu_rarity,0
abyss_p_mbu_value,0
abyss_c_stars_floor9,0
abyss_c_stars_floor10,0
abyss_c_stars_floor11,0
abyss_c_stars_floor12,0
abyss_p_stars_floor9,0
abyss_p_stars_floor10,0
abyss_p_stars_floor11,0
abyss_p_stars_floor12,0
